parent	component	qty_per
ABB-068	ALB-756	0.5
ABB-068	BBB-030	2.0
ABB-068	BBS-068	1.0
ABB-073	ALB-756	0.5
ABB-073	BBB-030	2.0
ABB-073	BBS-073	1.0
ACS-165	AXL-150	1.0
ACS-165	ALB-758	0.25
ASL-110	ALB-756	0.1
ASL-140	ALB-754	0.2
ASL-170	ALB-754	0.25
AST-055	ALB-756	0.25
AST-070	ALB-756	0.25
CCS-170	AXL-150	1.0
CCS-170	CPC-120	1.0
CCS-170	CPK-220	1.0
CCS-170	MIB-113	1.0
CPE-173	CFC-150	1.2
CPE-175	CFC-150	1.3
CPE-177	CFC-150	1.4
CPK-103	CFC-150	1.1
CPK-105	CFC-150	1.2
CPK-107	CFC-150	1.3
CPK-113	CFC-150	1.2
CPK-115	CFC-150	1.3
CPK-117	CFC-150	1.4
CPK-143	CFC-150	1.2
CPK-145	CFC-150	1.3
CPK-147	CFC-150	1.4
CPK-200	CFC-245	0.8
CPK-210	CFC-245	0.8
CPK-240	CFC-245	0.8
CPK-270	CFC-245	0.8
CPK-440	CFC-416	0.4
CPK-470	CFC-416	0.4
ENB-703	ENF-703	1.0
ENB-703	ACS-165	1.0
ENB-703	AST-055	1.0
ENB-703	SPR-160	1.0
ENB-703	ACR-032	1.0
ENB-703	HBG-100	1.0
ENB-703	PDL-200	1.0
ENB-703	BRK-402	1.0
ENB-703	BRK-404	1.0
ENB-703	HBM-750	1.0
ENB-703	CHN-512	1.0
ENB-703	TYR-727	1.0
ENB-703	TYR-827	1.0
ENB-703	FRK-727	1.0
ENB-703	SHX-709	1.0
ENB-703	CSS-812	1.0
ENB-703	MEC-813	1.0
ENB-703	WLS-427	1.0
ENB-703	SDL-239	1.0
ENB-705	ENF-705	1.0
ENB-705	ACS-165	1.0
ENB-705	AST-055	1.0
ENB-705	SPR-185	1.0
ENB-705	ACR-032	1.0
ENB-705	HBG-100	1.0
ENB-705	PDL-200	1.0
ENB-705	BRK-402	1.0
ENB-705	BRK-404	1.0
ENB-705	HBM-800	1.0
ENB-705	CHN-511	1.0
ENB-705	TYR-729	1.0
ENB-705	TYR-829	1.0
ENB-705	SHX-709	1.0
ENB-705	FRK-829	1.0
ENB-705	CSS-812	1.0
ENB-705	MEC-813	1.0
ENB-705	WLS-429	1.0
ENB-705	SDL-239	1.0
ENB-707	ENF-707	1.0
ENB-707	ACS-165	1.0
ENB-707	AST-055	1.0
ENB-707	SPR-213	1.0
ENB-707	ACR-032	1.0
ENB-707	HBG-100	1.0
ENB-707	PDL-200	1.0
ENB-707	BRK-402	1.0
ENB-707	BRK-404	1.0
ENB-707	HBM-800	1.0
ENB-707	CHN-512	1.0
ENB-707	TYR-729	1.0
ENB-707	TYR-829	1.0
ENB-707	SHX-709	1.0
ENB-707	FRK-829	1.0
ENB-707	CSS-812	1.0
