item_code	qty	date
TRB-403	2	2023-01-02
CCS-170	2	2023-01-03
TRB-407	2	2023-01-03
WLS-127	3	2023-01-03
WLS-427	4	2023-01-03
TRB-405	3	2023-01-04
WLS-429	3	2023-01-04
GRB-005	1	2023-01-06
GRB-007	1	2023-01-06
XCB-103	2	2023-01-06
XCB-105	2	2023-01-06
WLS-723	3	2023-01-06
XCB-107	1	2023-01-06
GRB-003	1	2023-01-06
TRB-403	1	2023-01-09
WLS-427	2	2023-01-09
GRB-005	1	2023-01-10
TRB-405	2	2023-01-10
ENB-707	3	2023-01-04
GRB-003	1	2023-01-11
HBM-750	4	2023-01-04
XCB-103	2	2023-01-11
ENB-705	3	2023-01-05
ENF-705	1	2023-01-05
HBM-800	5	2023-01-05
CCS-170	2	2023-01-12
ENF-707	3	2023-01-05
XCB-105	1	2023-01-12
TRB-407	1	2023-01-13
WLS-429	3	2023-01-13
WLS-723	2	2023-01-13
ENB-703	1	2023-01-06
WLS-127	3	2023-01-13
XCB-107	1	2023-01-13
HBM-750	3	2023-01-09
TRB-403	1	2023-01-16
CCS-170	2	2023-01-17
ENB-703	1	2023-01-10
HBM-800	5	2023-01-10
TRB-405	2	2023-01-17
XCB-103	1	2023-01-17
ENF-707	2	2023-01-11
WLS-127	4	2023-01-18
ENB-705	3	2023-01-12
ENB-707	3	2023-01-12
WLS-723	4	2023-01-19
WLS-427	3	2023-01-19
XCB-107	1	2023-01-19
ENF-705	2	2023-01-13
WLS-429	3	2023-01-20
GRB-007	1	2023-01-20
TRB-407	1	2023-01-20
ENF-703	1	2023-01-13
XCB-105	1	2023-01-20
XCF-103	5	2023-01-20
ENF-703	100	2023-01-20
XCB-107	48	2023-01-04
WLS-427	46	2023-01-05
WLS-427	60	2023-01-03
WLS-427	48	2023-01-06
XCF-105	35	2023-01-07
RIM-700	48	2023-01-05
XCB-107	57	2023-01-04
TRB-405	44	2023-01-05
ASL-170	40	2023-01-09
TRF-405	38	2023-01-05
XCB-107	41	2023-01-09
ASL-110	23	2023-01-08
TRB-407	45	2023-01-09
WLS-127	47	2023-01-04
ENB-703	59	2023-01-05
TRF-405	45	2023-01-03
XCB-103	46	2023-01-03
XCB-103	46	2023-01-11
WLS-723	46	2023-01-06
XCB-103	53	2023-01-10
WLS-427	24	2023-01-10
XCF-105	65	2023-01-07
XCB-103	56	2023-01-06
TRF-405	45	2023-01-09
TRF-403	53	2023-01-05
XCF-103	41	2023-01-08
WLS-429	64	2023-01-08
XCF-103	49	2023-01-15
ENB-703	55	2023-01-15
WLS-427	58	2023-01-09
TRF-405	62	2023-01-09
TRB-403	53	2023-01-10
TRF-405	52	2023-01-09
XCF-103	56	2023-01-10
XCB-105	51	2023-01-13
ASL-110	37	2023-01-14
RIM-427	59	2023-01-17
WLS-429	51	2023-01-10
TRB-407	59	2023-01-14
TRB-405	61	2023-01-10
TRB-407	52	2023-01-16
WLS-427	62	2023-01-15
RIM-429	36	2023-01-14
XCF-107	48	2023-01-17
XCF-103	40	2023-01-11
TRB-407	40	2023-01-15
XCB-103	60	2023-01-19
TRF-403	56	2023-01-22
ENB-707	50	2023-01-14
XCF-103	56	2023-01-21
WLS-429	43	2023-01-16
XCF-105	56	2023-01-21
RIM-700	67	2023-01-24
RIM-427	44	2023-01-21
TRF-403	44	2023-01-23
ASL-110	63	2023-01-17
XCB-107	46	2023-01-25
ASL-140	62	2023-01-19
XCF-103	60	2023-01-24
ASL-170	52	2023-01-24
WLS-127	75	2023-01-19
WLS-723	44	2023-01-21
XCF-105	59	2023-01-20
TRB-407	36	2023-01-24
WLS-427	47	2023-01-27
WLS-127	51	2023-01-22
XCF-105	58	2023-01-24
TRF-403	48	2023-01-21
WLS-127	34	2023-01-23
GRK-000	58	2023-01-24
TRF-407	48	2023-01-28
WLS-429	62	2023-01-20
ASL-140	35	2023-01-24
WLS-427	33	2023-01-27
ENF-703	64	2023-01-22
XCB-103	48	2023-01-20
XCB-103	41	2023-01-29
XCF-103	54	2023-01-29
XCB-105	41	2023-01-24
WLS-127	59	2023-01-28
ENF-703	52	2023-01-24
TRF-405	46	2023-01-22
XCB-105	64	2023-01-30
TRF-405	59	2023-01-25
TRB-405	62	2023-01-28
WLS-429	39	2023-01-23
TRF-405	53	2023-01-26
TRB-407	49	2023-01-31
TRF-407	53	2023-01-26
ASL-110	64	2023-01-30
XCF-103	42	2023-01-27
XCB-103	56	2023-01-27
TRF-403	55	2023-01-27
WLS-427	78	2023-01-31
ASL-170	45	2023-01-27
TRB-403	55	2023-01-31
WLS-127	40	2023-01-28
WLS-127	50	2023-01-29
XCF-107	64	2023-01-30
XCF-103	38	2023-01-30
TRF-403	55	2023-02-01
XCB-105	60	2023-02-03
WLS-429	51	2023-02-04
WLS-427	58	2023-02-01
XCF-103	40	2023-02-02
TRF-403	39	2023-02-02
WLS-429	58	2023-02-06
ASL-110	64	2023-02-07
XCF-105	44	2023-02-04
WLS-723	49	2023-02-05
TRB-407	59	2023-02-06
TRB-407	45	2023-02-10
XCF-107	28	2023-02-04
WLS-427	33	2023-02-09
ASL-110	66	2023-02-04
TRB-407	52	2023-02-02
XCF-103	47	2023-02-07
WLS-127	75	2023-02-08
XCB-107	63	2023-02-04
XCF-103	60	2023-02-12
ASL-170	45	2023-02-09
TRF-403	56	2023-02-06
ASL-140	49	2023-02-07
TRF-405	52	2023-02-10
XCF-105	58	2023-02-09
WLS-429	51	2023-02-05
RIM-427	44	2023-02-05
XCF-103	48	2023-02-09
