item_code	desc	uom	vendor	category
HBG-420	Handlebars Gravel 420mm	pcs	PS Cycles	Fng
HBG-440	Handlebars Gravel 440mm	pcs	PS Cycles	Fng
HBG-460	Handlebars Gravel 460mm	pcs	PS Cycles	Fng
HBM-740	Handlebars XC 740mm	pcs	PS Cycles	Fng
ACS-165	Aluminium Crankset 165mm	pcs	PS Cycles	Fng
AST-055	Aluminium Stem 55mm	pcs	PS Cycles	Fng
AST-070	Aluminium Stem 70mm	pcs	PS Cycles	Fng
ABB-068	Bottom Bracket Aluminium Threaded 68mm	pcs	PS Cycles	Fng
ABB-073	Bottom Bracket Aluminium Threaded 73mm	pcs	PS Cycles	Fng
CCS-170	Carbon Crankset 170mm	pcs	PS Cycles	Fng
GRB-003	20GR Gravel Bike - Small	pcs	PS Cycles	Fng
GRB-005	20GR Gravel Bike - Medium	pcs	PS Cycles	Fng
GRB-007	20GR Gravel Bike - Large	pcs	PS Cycles	Fng
GRF-003	20GR Gravel/CX Bike Frameset - Small	pcs	PS Cycles	Fng
GRF-005	20GR Gravel/CX Bike Frameset - Medium	pcs	PS Cycles	Fng
GRF-007	20GR Gravel/CX Bike Frameset - Large	pcs	PS Cycles	Fng
GRK-000	20GR Gravel/CX Bike Carbon fork 700c	pcs	PS Cycles	Fng
RIM-127	Rim - 275 XC	pcs	PS Cycles	Fng
RIM-427	Rim - 275 Enduro/Trail	pcs	PS Cycles	Fng
RIM-429	Rim - 295 Enduro/Trail	pcs	PS Cycles	Fng
RIM-700	Rim - 700c Gravel	pcs	PS Cycles	Fng
TRB-403	140mm Trail Mountain Bike - Small	pcs	PS Cycles	Fng
TRB-405	140mm Trail Mountain Bike - Medium	pcs	PS Cycles	Fng
TRB-407	140mm Trail Mountain Bike - Large	pcs	PS Cycles	Fng
TRF-403	140mm Trail Frameset - Small	pcs	PS Cycles	Fng
TRF-405	140mm Trail Frameset - Medium	pcs	PS Cycles	Fng
TRF-407	140mm Trail Frameset - Large	pcs	PS Cycles	Fng
WLS-127	Wheelset 295 with XC rims	pcs	PS Cycles	Fng
WLS-427	Wheelset 275 with Enduro/Trail Wide rims	pcs	PS Cycles	Fng
WLS-429	Wheelset 295 with Enduro/Trail Wide rims	pcs	PS Cycles	Fng
WLS-723	Wheelset 700c with 23mm rims	pcs	PS Cycles	Fng
XCB-103	110mm XC Mountain Bike - Small	pcs	PS Cycles	Fng
XCB-105	110mm XC Mountain Bike - Medium	pcs	PS Cycles	Fng
XCB-107	110mm XC Mountain Bike - Large	pcs	PS Cycles	Fng
XCF-103	110mm XC Frameset - Small	pcs	PS Cycles	Fng
XCF-105	110mm XC Frameset - Medium	pcs	PS Cycles	Fng
XCF-107	110mm XC Frameset - Large	pcs	PS Cycles	Fng
ASL-110	Alloy Suspension Link - XC	pcs	PS Cycles	Fng
ASL-140	Alloy Suspension Link Kit - Trail	pcs	PS Cycles	Fng
ASL-170	Alloy Suspension Link Kit - Enduro	pcs	PS Cycles	Fng
ENB-703	170mm Enduro Mountain Bike - Small	pcs	PS Cycles	Fng
ENB-705	170mm Enduro Mountain Bike - Medium	pcs	PS Cycles	Fng
ENB-707	170mm Enduro Mountain Bike - Large	pcs	PS Cycles	Fng
ENF-703	170mm Enduro Frameset - Small	pcs	PS Cycles	Fng
ENF-705	170mm Enduro Frameset - Medium	pcs	PS Cycles	Fng
ENF-707	170mm Enduro Frameset - Large	pcs	PS Cycles	Fng
HBM-750	Handlebars Enduro/Trail 750mm	pcs	PS Cycles	Fng
HBM-800	Handlebars Enduro/Trail 800mm	pcs	PS Cycles	Fng
ACR-032	Chainring 32T Alloy SB	pcs	Alubits	Component
ACR-034	Chainring 34T Alloy SB	pcs	Alubits	Component
ACR-036	Chainring 36T Alloy	pcs	Alubits	Component
ACR-038	Chainring 38T Alloy	pcs	Alubits	Component
ALB-754	Aluminium Billet 7075 size 4	pcs	ALCO	Component
ALB-756	Aluminium Billet 7075 size 6	pcs	ALCO	Component
ALB-758	Aluminium Billet 7075 size 8	pcs	ALCO	Component
AXL-150	7150 Al Crank Axle	pcs	Alubits	Component
BBB-030	Bottom Bracket Bearings 30mm Axle	pcs	Enduro	Component
BBS-068	Bottom Bracket Seal Kit 68mm	pcs	Enduro	Component
BBS-073	Bottom Bracket Seal Kit 73mm	pcs	Enduro	Component
BRK-134	Shimano GRX Disc Brake Front	pcs	Shimano	Component
