,item_code,planned_qty,receipt_date,release_date,lead_time,order_type,urgency_status
0,TRB-405,80,2023-01-04,2023-01-01,3,Production Order,urgent
1,TRB-405,50,2023-01-05,2023-01-02,3,Production Order,
2,TRB-405,57,2023-01-10,2023-01-07,3,Production Order,
3,TRB-405,50,2023-01-17,2023-01-14,3,Production Order,
4,TRB-405,50,2023-01-28,2023-01-25,3,Production Order,
5,TRB-405,50,2023-02-28,2023-02-25,3,Production Order,
6,TRB-405,62,2023-03-08,2023-03-05,3,Production Order,
7,TRB-405,55,2023-03-09,2023-03-06,3,Production Order,
8,TRB-405,50,2023-03-17,2023-03-14,3,Production Order,
9,TRB-405,50,2023-03-26,2023-03-23,3,Production Order,
10,TRB-405,54,2023-04-08,2023-04-05,3,Production Order,
11,TRB-405,50,2023-04-11,2023-04-08,3,Production Order,
12,XCB-107,195,2023-01-04,2023-01-01,3,Production Order,urgent
13,XCB-107,50,2023-01-06,2023-01-03,3,Production Order,
14,XCB-107,50,2023-01-25,2023-01-22,3,Production Order,
15,XCB-107,53,2023-02-04,2023-02-01,3,Production Order,
16,XCB-107,50,2023-02-11,2023-02-08,3,Production Order,
17,XCB-107,57,2023-02-17,2023-02-14,3,Production Order,
18,XCB-107,50,2023-03-01,2023-02-26,3,Production Order,
19,XCB-107,66,2023-03-02,2023-02-27,3,Production Order,
20,XCB-107,50,2023-03-08,2023-03-05,3,Production Order,
21,XCB-107,50,2023-03-09,2023-03-06,3,Production Order,
22,XCB-107,62,2023-03-15,2023-03-12,3,Production Order,
23,XCB-107,50,2023-03-23,2023-03-20,3,Production Order,
24,XCB-107,51,2023-03-25,2023-03-22,3,Production Order,
25,XCB-107,50,2023-03-26,2023-03-23,3,Production Order,
26,XCB-107,50,2023-03-28,2023-03-25,3,Production Order,
27,XCB-107,50,2023-04-02,2023-03-30,3,Production Order,
28,XCB-107,50,2023-04-03,2023-03-31,3,Production Order,
29,XCB-107,50,2023-04-11,2023-04-08,3,Production Order,
30,XCB-107,64,2023-04-13,2023-04-10,3,Production Order,
31,XCB-107,50,2023-04-18,2023-04-15,3,Production Order,
32,XCB-107,50,2023-04-26,2023-04-23,3,Production Order,
33,XCB-107,57,2023-04-27,2023-04-24,3,Production Order,
34,ENB-705,70,2023-01-05,2023-01-02,3,Production Order,
35,ENB-705,50,2023-01-12,2023-01-09,3,Production Order,
36,ENB-705,50,2023-02-26,2023-02-23,3,Production Order,
37,ENB-705,50,2023-03-28,2023-03-25,3,Production Order,
38,ENB-705,50,2023-04-01,2023-03-29,3,Production Order,
39,ENB-705,103,2023-04-25,2023-04-22,3,Production Order,
40,ENB-705,50,2023-04-28,2023-04-25,3,Production Order,
41,XCB-105,88,2023-01-06,2023-01-03,3,Production Order,
42,XCB-105,50,2023-01-12,2023-01-09,3,Production Order,
43,XCB-105,50,2023-01-13,2023-01-10,3,Production Order,
44,XCB-105,58,2023-01-30,2023-01-27,3,Production Order,
45,XCB-105,60,2023-02-03,2023-01-31,3,Production Order,
46,XCB-105,50,2023-02-28,2023-02-25,3,Production Order,
47,XCB-105,50,2023-03-02,2023-02-27,3,Production Order,
48,XCB-105,50,2023-03-10,2023-03-07,3,Production Order,
49,XCB-105,50,2023-03-13,2023-03-10,3,Production Order,
50,XCB-105,50,2023-03-15,2023-03-12,3,Production Order,
51,XCB-105,50,2023-03-16,2023-03-13,3,Production Order,
52,XCB-105,50,2023-04-10,2023-04-07,3,Production Order,
53,XCB-105,91,2023-04-12,2023-04-09,3,Production Order,
54,XCB-105,50,2023-04-14,2023-04-11,3,Production Order,
55,XCB-105,50,2023-04-16,2023-04-13,3,Production Order,
56,XCB-105,77,2023-04-17,2023-04-14,3,Production Order,
57,XCB-105,51,2023-04-24,2023-04-21,3,Production Order,
58,GRB-005,94,2023-01-06,2023-01-03,3,Production Order,
59,GRB-005,50,2023-01-10,2023-01-07,3,Production Order,
60,ENB-703,50,2023-01-01,2022-12-29,3,Production Order,urgent
61,ENB-703,55,2023-01-05,2023-01-02,3,Production Order,
62,ENB-703,50,2023-01-06,2023-01-03,3,Production Order,
63,ENB-703,50,2023-01-15,2023-01-12,3,Production Order,
64,ENB-703,50,2023-03-06,2023-03-03,3,Production Order,
65,ENB-703,50,2023-03-07,2023-03-04,3,Production Order,
66,ENB-703,50,2023-04-19,2023-04-16,3,Production Order,
67,ENB-703,52,2023-04-22,2023-04-19,3,Production Order,
68,TRB-407,88,2023-01-03,2022-12-31,3,Production Order,urgent
69,TRB-407,50,2023-01-09,2023-01-06,3,Production Order,
70,TRB-407,55,2023-01-14,2023-01-11,3,Production Order,
71,TRB-407,50,2023-01-15,2023-01-12,3,Production Order,
72,TRB-407,50,2023-01-16,2023-01-13,3,Production Order,
73,TRB-407,50,2023-01-24,2023-01-21,3,Production Order,
74,TRB-407,50,2023-01-31,2023-01-28,3,Production Order,
75,TRB-407,50,2023-02-02,2023-01-30,3,Production Order,
76,TRB-407,50,2023-02-06,2023-02-03,3,Production Order,
77,TRB-407,50,2023-02-07,2023-02-04,3,Production Order,
78,TRB-407,50,2023-02-10,2023-02-07,3,Production Order,
79,TRB-407,50,2023-02-14,2023-02-11,3,Production Order,
80,TRB-407,50,2023-02-17,2023-02-14,3,Production Order,
81,TRB-407,50,2023-02-23,2023-02-20,3,Production Order,
82,TRB-407,60,2023-03-03,2023-02-28,3,Production Order,
83,TRB-407,54,2023-03-29,2023-03-26,3,Production Order,
84,TRB-407,50,2023-04-05,2023-04-02,3,Production Order,
85,TRB-407,50,2023-04-10,2023-04-07,3,Production Order,
86,TRB-407,57,2023-04-20,2023-04-17,3,Production Order,
87,TRB-407,116,2023-04-27,2023-04-24,3,Production Order,
88,GRB-003,94,2023-01-06,2023-01-03,3,Production Order,
89,GRB-003,50,2023-01-11,2023-01-08,3,Production Order,
90,TRB-403,94,2023-01-02,2022-12-30,3,Production Order,urgent
91,TRB-403,50,2023-01-10,2023-01-07,3,Production Order,
92,TRB-403,53,2023-01-31,2023-01-28,3,Production Order,
93,TRB-403,53,2023-02-18,2023-02-15,3,Production Order,
94,TRB-403,74,2023-03-08,2023-03-05,3,Production Order,
95,TRB-403,63,2023-03-12,2023-03-09,3,Production Order,
96,TRB-403,55,2023-04-09,2023-04-06,3,Production Order,
97,TRB-403,63,2023-04-20,2023-04-17,3,Production Order,
98,ENB-707,50,2023-01-01,2022-12-29,3,Production Order,urgent
99,ENB-707,50,2023-03-04,2023-03-01,3,Production Order,
100,ENB-707,50,2023-03-24,2023-03-21,3,Production Order,
101,ENB-707,50,2023-03-28,2023-03-25,3,Production Order,
102,XCB-103,129,2023-01-03,2022-12-31,3,Production Order,urgent
103,XCB-103,58,2023-01-06,2023-01-03,3,Production Order,
104,XCB-103,53,2023-01-10,2023-01-07,3,Production Order,
105,XCB-103,50,2023-01-11,2023-01-08,3,Production Order,
106,XCB-103,59,2023-01-19,2023-01-16,3,Production Order,
107,XCB-103,50,2023-01-20,2023-01-17,3,Production Order,
108,XCB-103,54,2023-01-27,2023-01-24,3,Production Order,
109,XCB-103,50,2023-01-29,2023-01-26,3,Production Order,
110,XCB-103,55,2023-02-09,2023-02-06,3,Production Order,
111,XCB-103,50,2023-02-21,2023-02-18,3,Production Order,
112,XCB-103,50,2023-02-28,2023-02-25,3,Production Order,
113,XCB-103,50,2023-03-01,2023-02-26,3,Production Order,
114,XCB-103,50,2023-03-03,2023-02-28,3,Production Order,
115,XCB-103,84,2023-03-08,2023-03-05,3,Production Order,
116,XCB-103,51,2023-03-15,2023-03-12,3,Production Order,
117,XCB-103,50,2023-03-16,2023-03-13,3,Production Order,
118,XCB-103,50,2023-03-18,2023-03-15,3,Production Order,
119,XCB-103,50,2023-03-19,2023-03-16,3,Production Order,
120,XCB-103,50,2023-04-03,2023-03-31,3,Production Order,
121,XCB-103,71,2023-04-12,2023-04-09,3,Production Order,
122,XCB-103,53,2023-04-16,2023-04-13,3,Production Order,
123,XCB-103,53,2023-04-17,2023-04-14,3,Production Order,
124,XCB-103,50,2023-04-18,2023-04-15,3,Production Order,
125,XCB-103,50,2023-04-19,2023-04-16,3,Production Order,
126,XCB-103,50,2023-04-21,2023-04-18,3,Production Order,
127,XCB-103,50,2023-04-25,2023-04-22,3,Production Order,
128,XCB-103,59,2023-04-29,2023-04-26,3,Production Order,
129,TAIDUC-001,35000,2023-01-03,2022-12-27,7,Purchase Order,urgent
130,TAIDUC-001,45000,2023-01-14,2023-01-07,7,Purchase Order,
131,TAIDUC-002,120,2022-12-19,2022-11-28,21,Purchase Order,urgent
132,TAIDUC-002,1580,2022-12-20,2022-11-29,21,Purchase Order,urgent
133,TAIDUC-002,1540,2022-12-27,2022-12-06,21,Purchase Order,urgent
134,TAIDUC-002,620,2023-01-03,2022-12-13,21,Purchase Order,urgent
135,TAIDUC-002,1140,2023-01-10,2022-12-20,21,Purchase Order,urgent
136,TAIDUC-002,920,2023-01-17,2022-12-27,21,Purchase Order,urgent
137,TAIDUC-002,940,2023-01-24,2023-01-03,21,Purchase Order,
138,TAIDUC-002,800,2023-01-31,2023-01-10,21,Purchase Order,
139,TAIDUC-002,620,2023-02-07,2023-01-17,21,Purchase Order,
140,TAIDUC-002,1300,2023-02-14,2023-01-24,21,Purchase Order,
141,TAIDUC-002,1040,2023-02-21,2023-01-31,21,Purchase Order,
142,TAIDUC-002,980,2023-02-28,2023-02-07,21,Purchase Order,
143,TAIDUC-002,560,2023-03-07,2023-02-14,21,Purchase Order,
144,TAIDUC-002,800,2023-03-14,2023-02-21,21,Purchase Order,
145,TAIDUC-002,740,2023-03-21,2023-02-28,21,Purchase Order,
146,TAIDUC-002,1140,2023-03-28,2023-03-07,21,Purchase Order,
147,TAIDUC-002,840,2023-04-04,2023-03-14,21,Purchase Order,
148,TAIDUC-002,1180,2023-04-11,2023-03-21,21,Purchase Order,
149,TAIDUC-002,340,2023-04-18,2023-03-28,21,Purchase Order,
150,GRB-007,92,2023-01-06,2023-01-03,3,Production Order,
151,GRB-007,50,2023-01-20,2023-01-17,3,Production Order,
152,XCF-103,117,2022-12-31,2022-12-24,7,Production Order,urgent
153,XCF-103,58,2023-01-03,2022-12-27,7,Production Order,urgent
154,XCF-103,53,2023-01-07,2022-12-31,7,Production Order,urgent
155,XCF-103,91,2023-01-08,2023-01-01,7,Production Order,urgent
156,XCF-103,56,2023-01-10,2023-01-03,7,Production Order,
157,XCF-103,40,2023-01-11,2023-01-04,7,Production Order,
158,XCF-103,49,2023-01-15,2023-01-08,7,Production Order,
159,XCF-103,59,2023-01-16,2023-01-09,7,Production Order,
160,XCF-103,50,2023-01-17,2023-01-10,7,Production Order,
161,XCF-103,5,2023-01-20,2023-01-13,7,Production Order,
162,XCF-103,56,2023-01-21,2023-01-14,7,Production Order,
163,XCF-103,114,2023-01-24,2023-01-17,7,Production Order,
164,XCF-103,50,2023-01-26,2023-01-19,7,Production Order,
165,XCF-103,42,2023-01-27,2023-01-20,7,Production Order,
166,XCF-103,54,2023-01-29,2023-01-22,7,Production Order,
167,XCF-103,38,2023-01-30,2023-01-23,7,Production Order,
168,XCF-103,40,2023-02-02,2023-01-26,7,Production Order,
169,XCF-103,55,2023-02-06,2023-01-30,7,Production Order,
170,XCF-103,47,2023-02-07,2023-01-31,7,Production Order,
171,XCF-103,102,2023-02-09,2023-02-02,7,Production Order,
172,XCF-103,60,2023-02-12,2023-02-05,7,Production Order,
173,XCF-103,82,2023-02-16,2023-02-09,7,Production Order,
174,XCF-103,50,2023-02-18,2023-02-11,7,Production Order,
175,XCF-103,38,2023-02-22,2023-02-15,7,Production Order,
176,XCF-103,96,2023-02-25,2023-02-18,7,Production Order,
177,XCF-103,50,2023-02-26,2023-02-19,7,Production Order,
178,XCF-103,50,2023-02-28,2023-02-21,7,Production Order,
179,XCF-103,105,2023-03-04,2023-02-25,7,Production Order,
180,XCF-103,84,2023-03-05,2023-02-26,7,Production Order,
181,XCF-103,51,2023-03-12,2023-03-05,7,Production Order,
182,XCF-103,50,2023-03-13,2023-03-06,7,Production Order,
183,XCF-103,109,2023-03-15,2023-03-08,7,Production Order,
184,XCF-103,50,2023-03-16,2023-03-09,7,Production Order,
185,XCF-103,57,2023-03-18,2023-03-11,7,Production Order,
186,XCF-103,62,2023-03-24,2023-03-17,7,Production Order,
187,XCF-103,55,2023-03-26,2023-03-19,7,Production Order,
188,XCF-103,56,2023-03-27,2023-03-20,7,Production Order,
189,XCF-103,50,2023-03-31,2023-03-24,7,Production Order,
190,XCF-103,45,2023-04-04,2023-03-28,7,Production Order,
191,XCF-103,71,2023-04-09,2023-04-02,7,Production Order,
192,XCF-103,52,2023-04-11,2023-04-04,7,Production Order,
193,XCF-103,94,2023-04-13,2023-04-06,7,Production Order,
