item_code	date	qty
ABB-068	2023-01-02	21
ABB-073	2023-01-02	2
ACR-032	2023-01-02	85
ACR-034	2023-01-02	67
ACR-036	2023-01-02	52
ACR-038	2023-01-02	41
ACS-165	2023-01-02	84
ALB-754	2023-01-02	32
ALB-756	2023-01-02	134
ALB-758	2023-01-02	26
ASL-110	2023-01-02	27
ASL-140	2023-01-02	30
ASL-170	2023-01-02	75
AST-055	2023-01-02	84
AST-070	2023-01-02	29
AXL-150	2023-01-02	345
BBB-030	2023-01-02	771
BBS-068	2023-01-02	33
BBS-073	2023-01-02	352
BRK-134	2023-01-02	21
BRK-135	2023-01-02	21
BRK-202	2023-01-02	170
BRK-204	2023-01-02	170
BRK-402	2023-01-02	121
BRK-404	2023-01-02	121
CCS-170	2023-01-02	79
CFC-150	2023-01-02	410
CFC-245	2023-01-02	392
CFC-416	2023-01-02	92
CGS-001	2023-01-02	41
CHN-511	2023-01-02	59
CHN-512	2023-01-02	157
CHN-513	2023-01-02	116
CPC-120	2023-01-02	114
CPE-173	2023-01-02	9
CPE-175	2023-01-02	29
CPE-177	2023-01-02	37
CPK-103	2023-01-02	6
CPK-105	2023-01-02	6
CPK-107	2023-01-02	5
CPK-113	2023-01-02	11
CPK-115	2023-01-02	9
CPK-117	2023-01-02	7
CPK-143	2023-01-02	7
CPK-145	2023-01-02	14
CPK-147	2023-01-02	13
CPK-200	2023-01-02	16
CPK-210	2023-01-02	27
CPK-220	2023-01-02	53
CPK-240	2023-01-02	30
CPK-270	2023-01-02	75
CPK-440	2023-01-02	30
CPK-470	2023-01-02	75
CSS-812	2023-01-02	120
CSS-912	2023-01-02	58
CST-050	2023-01-02	41
DCL-110	2023-01-02	49
DCL-140	2023-01-02	54
DCL-170	2023-01-02	135
ENB-703	2023-01-02	10
ENB-705	2023-01-02	33
ENB-707	2023-01-02	27
ENF-703	2023-01-02	11
ENF-705	2023-01-02	31
ENF-707	2023-01-02	51
FHB-932	2023-01-02	489
FRK-429	2023-01-02	52
FRK-727	2023-01-02	24
FRK-729	2023-01-02	28
FRK-829	2023-01-02	39
GRB-003	2023-01-02	7
GRB-005	2023-01-02	7
GRB-007	2023-01-02	9
GRF-003	2023-01-02	6
GRF-005	2023-01-02	6
GRF-007	2023-01-02	5
GRK-000	2023-01-02	16
GRS-110	2023-01-02	69
GRS-140	2023-01-02	77
GRS-170	2023-01-02	193
GTP-100	2023-01-02	41
HBG-100	2023-01-02	291
HBG-420	2023-01-02	6
HBG-440	2023-01-02	6
HBG-460	2023-01-02	5
HBM-740	2023-01-02	29
HBM-750	2023-01-02	96
HBM-800	2023-01-02	101
HSX-040	2023-01-02	41
HSX-214	2023-01-02	339
MEC-813	2023-01-02	108
MEC-913	2023-01-02	58
MIB-111	2023-01-02	302
MIB-112	2023-01-02	411
MIB-113	2023-01-02	204
MIB-114	2023-01-02	62
MIB-115	2023-01-02	706
PBK-110	2023-01-02	18
PBK-140	2023-01-02	77
PBK-170	2023-01-02	244
PCC-101	2023-01-02	17
PDL-200	2023-01-02	216
RHB-732	2023-01-02	206
RHB-932	2023-01-02	283
RIM-127	2023-01-02	100
RIM-333	2023-01-02	135
RIM-427	2023-01-02	64
RIM-429	2023-01-02	223
RIM-700	2023-01-02	60
SDL-147	2023-01-02	116
SDL-239	2023-01-02	216
SHX-410	2023-01-02	52
SHX-708	2023-01-02	37
SHX-709	2023-01-02	85
SPD-080	2023-01-02	96
SPK-102	2023-01-02	206
SPK-105	2023-01-02	283
SPR-160	2023-01-02	36
SPR-185	2023-01-02	109
SPR-213	2023-01-02	41
TBV-100	2023-01-02	489
TRB-403	2023-01-02	8
TRB-405	2023-01-02	23
TRB-407	2023-01-02	14
TRF-403	2023-01-02	13
TRF-405	2023-01-02	18
TRF-407	2023-01-02	10
TYR-170	2023-01-02	58
TYR-229	2023-01-02	104
TYR-427	2023-01-02	46
TYR-429	2023-01-02	144
TYR-727	2023-01-02	21
TYR-729	2023-01-02	100
TYR-827	2023-01-02	21
TYR-829	2023-01-02	100
WLS-127	2023-01-02	55
WLS-427	2023-01-02	53
WLS-429	2023-01-02	83
WLS-723	2023-01-02	50
XCB-103	2023-01-02	17
XCB-105	2023-01-02	14
XCB-107	2023-01-02	10
XCF-103	2023-01-02	12
XCF-105	2023-01-02	10
XCF-107	2023-01-02	7
TAIDUC-002	2023-01-02	392
