item_code	qty	date
MIB-113	50	2023-01-14
GRS-110	20	2023-01-03
HSX-214	100	2023-01-04
HBG-440	3	2023-01-06
SDL-147	37	2023-01-06
CGS-001	100	2023-01-07
PDL-200	60	2023-01-07
SDL-239	100	2023-01-07
SPK-102	60	2023-01-08
BRK-202	25	2023-01-10
CFC-245	120	2023-01-03
HBM-740	6	2023-01-10
MIB-113	60	2023-02-12
CFC-150	60	2023-01-05
HBG-420	5	2023-01-12
ACR-038	20	2023-01-16
HBG-460	2	2023-01-14
PBK-170	60	2023-01-14
GRS-170	50	2023-01-15
HBM-740	8	2023-01-15
CFC-416	20	2023-01-11
SPK-102	60	2023-01-18
ACR-036	10	2023-01-07
AST-070	13	2023-01-07
HBG-460	3	2023-01-21
HBM-740	15	2023-01-21
MEC-913	20	2023-01-03
SPR-185	20	2023-01-14
TYR-229	20	2023-01-07
DCL-140	20	2023-01-08
GRS-140	20	2023-01-22
PBK-140	50	2023-01-22
ALB-758	10	2023-01-05
TBV-100	48	2023-01-24
RIM-429	61	2023-01-05
ACR-034	25	2023-01-13
ACS-165	32	2023-01-13
AST-055	25	2023-01-13
CFC-245	100	2023-01-20
PCC-101	20	2023-01-20
MIB-114	20	2023-03-01
RIM-127	22	2023-01-07
RIM-427	22	2023-01-07
TRF-407	6	2023-01-07
ALB-756	30	2023-01-11
CPK-103	3	2023-01-04
CSS-812	30	2023-01-11
MEC-813	30	2023-01-11
SHX-708	20	2023-01-08
TBV-100	60	2023-01-29
WLS-429	22	2023-01-04
ACR-032	15	2023-01-16
SHX-709	20	2023-01-16
TRB-403	7	2023-01-05
ENB-707	36	2023-01-01
BRK-134	65	2023-01-01
BRK-202	52	2023-01-01
ACR-034	46	2023-01-01
BRK-135	37	2023-01-01
ENF-705	53	2023-01-01
BRK-202	59	2023-01-01
ALB-754	78	2023-01-02
BBB-030	60	2023-01-02
BBS-073	60	2023-01-01
HBM-800	44	2023-01-02
HBM-750	59	2023-01-02
AXL-150	53	2023-01-02
ALB-754	24	2023-01-01
BBS-073	40	2023-01-02
ALB-754	62	2023-01-02
BRK-135	40	2023-01-01
ENF-707	61	2023-01-01
BRK-135	62	2023-01-01
BRK-134	35	2023-01-01
ACR-038	48	2023-01-02
HBM-800	49	2023-01-02
ENF-707	44	2023-01-01
BBS-073	54	2023-01-01
ACR-032	56	2023-01-02
BBS-068	51	2023-01-01
ACR-034	62	2023-01-01
BBB-030	46	2023-01-02
BRK-135	35	2023-01-01
BBS-068	41	2023-01-02
ALB-756	43	2023-01-02
BRK-135	45	2023-01-01
BBB-030	41	2023-01-01
ACR-034	53	2023-01-01
AXL-150	44	2023-01-01
ACR-034	45	2023-01-01
ALB-754	34	2023-01-02
BBS-073	59	2023-01-01
BRK-202	55	2023-01-01
ALB-754	60	2023-01-02
HBM-750	40	2023-01-01
BRK-134	48	2023-01-02
BBB-030	56	2023-01-01
ENB-703	44	2023-01-01
BBS-073	49	2023-01-01
AXL-150	48	2023-01-01
ENB-707	48	2023-01-02
ALB-756	39	2023-01-01
BBS-068	46	2023-01-02
ACR-034	45	2023-01-02
ALB-754	60	2023-02-01
BRK-134	35	2023-02-05
ENB-707	48	2023-02-03
ENF-707	44	2023-02-03
BRK-135	40	2023-02-07
BBS-068	41	2023-02-07
BRK-202	59	2023-02-03
ACR-034	45	2023-02-01
BBB-030	46	2023-02-09
AXL-150	53	2023-02-08
ALB-754	24	2023-02-08
BRK-134	65	2023-02-05
ACR-034	45	2023-02-07
BBS-073	49	2023-02-13
BRK-202	55	2023-02-13
ACR-034	62	2023-02-07
ENF-705	53	2023-02-08
BBS-068	51	2023-02-11
BRK-135	37	2023-02-12
HBM-750	59	2023-02-12
ENF-707	61	2023-02-08
ALB-754	62	2023-02-13
ENB-707	36	2023-02-12
BRK-134	48	2023-02-15
BBS-073	40	2023-02-09
HBM-750	40	2023-02-13
BBB-030	60	2023-02-17
ACR-032	56	2023-02-20
ALB-756	43	2023-02-14
ENB-703	44	2023-02-19
HBM-800	44	2023-02-21
BBS-068	46	2023-02-23
BRK-135	62	2023-02-17
BBS-073	60	2023-02-22
AXL-150	44	2023-02-19
BBS-073	59	2023-02-18
ALB-754	34	2023-02-21
ACR-038	48	2023-02-26
BRK-135	35	2023-02-22
AXL-150	48	2023-02-18
BBS-073	54	2023-02-27
BBB-030	41	2023-02-22
BRK-202	52	2023-02-22
ACR-034	46	2023-02-20
ALB-756	39	2023-02-21
ACR-034	53	2023-02-24
HBM-800	49	2023-03-01
BBB-030	56	2023-02-25
ALB-754	78	2023-03-01
BRK-135	45	2023-02-25
ALB-754	30	2023-01-02
ASL-110	135	2023-01-22
TAIDUC-001	5000	2023-01-01
TAIDUC-001	25000	2023-01-03
TAIDUC-001	5000	2023-01-06
TAIDUC-001	5000	2023-01-08
TAIDUC-001	5000	2023-01-11
TAIDUC-001	5000	2023-01-15
TAIDUC-002	120	2023-01-03
TAIDUC-002	100	2023-01-20
