,Item Code,Field,Field Value,MRP_element,overdue,total,Y22W52,Y23W01,Y23W02,Y23W03,Y23W04,Y23W05
0,GRB-007,Item Code,GRB-007,Gross Req,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
1,GRB-007,Description,20GR Gravel Bike - Large,Scheduled Rcpt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,GRB-007,Current stock,9.0,planned_receipt,0.0,142.0,0.0,92.0,0.0,50.0,0.0,0.0
3,GRB-007,Lead Time,3,planned_release,0.0,142.0,0.0,92.0,0.0,50.0,0.0,0.0
4,GRB-007,Safety Stock,100,Balance,9.0,7.0,9.0,8.0,8.0,7.0,7.0,7.0
5,GRB-007,Order Policy,FOQ,Balance (+SR),9.0,7.0,9.0,8.0,8.0,7.0,7.0,7.0
6,GRB-007,Rounding Value / MOQ,[1/ 50],Balance(+SR+PR),9.0,149.0,9.0,100.0,100.0,149.0,149.0,149.0
7,GRB-007,Cover Days / Week Day / Max Level,[nan/ nan/ nan],Balance(+SR+1st PR),9.0,99.0,9.0,100.0,100.0,99.0,99.0,99.0
8,GRB-003,Item Code,GRB-003,Gross Req,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
9,GRB-003,Description,20GR Gravel Bike - Small,Scheduled Rcpt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,GRB-003,Current stock,7.0,planned_receipt,0.0,144.0,0.0,94.0,50.0,0.0,0.0,0.0
11,GRB-003,Lead Time,3,planned_release,0.0,144.0,0.0,144.0,0.0,0.0,0.0,0.0
12,GRB-003,Safety Stock,100,Balance,7.0,5.0,7.0,6.0,5.0,5.0,5.0,5.0
13,GRB-003,Order Policy,FOQ,Balance (+SR),7.0,5.0,7.0,6.0,5.0,5.0,5.0,5.0
14,GRB-003,Rounding Value / MOQ,[1/ 50],Balance(+SR+PR),7.0,149.0,7.0,100.0,149.0,149.0,149.0,149.0
15,GRB-003,Cover Days / Week Day / Max Level,[nan/ nan/ nan],Balance(+SR+1st PR),7.0,99.0,7.0,100.0,99.0,99.0,99.0,99.0
16,ENB-705,Item Code,ENB-705,Gross Req,0.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0
17,ENB-705,Description,170mm Enduro Mountain Bike - Medium,Scheduled Rcpt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,ENB-705,Current stock,33.0,planned_receipt,0.0,120.0,0.0,70.0,50.0,0.0,0.0,0.0
19,ENB-705,Lead Time,3,planned_release,0.0,120.0,0.0,70.0,50.0,0.0,0.0,0.0
20,ENB-705,Safety Stock,100,Balance,33.0,27.0,33.0,30.0,27.0,27.0,27.0,27.0
21,ENB-705,Order Policy,FOQ,Balance (+SR),33.0,27.0,33.0,30.0,27.0,27.0,27.0,27.0
22,ENB-705,Rounding Value / MOQ,[1/ 50],Balance(+SR+PR),33.0,147.0,33.0,100.0,147.0,147.0,147.0,147.0
23,ENB-705,Cover Days / Week Day / Max Level,[nan/ nan/ nan],Balance(+SR+1st PR),33.0,97.0,33.0,100.0,97.0,97.0,97.0,97.0
24,TAIDUC-001,Item Code,TAIDUC-001,Gross Req,0.0,126729.0,888.0,50487.0,42854.0,32500.0,0.0,0.0
25,TAIDUC-001,Description,"Trading RM, Pokemon Fish 001",Scheduled Rcpt,0.0,50000.0,5000.0,35000.0,10000.0,0.0,0.0,0.0
26,TAIDUC-001,Current stock,0.0,planned_receipt,0.0,80000.0,0.0,35000.0,45000.0,0.0,0.0,0.0
27,TAIDUC-001,Lead Time,7,planned_release,35000.0,45000.0,0.0,45000.0,0.0,0.0,0.0,0.0
28,TAIDUC-001,Safety Stock,0,Balance,0.0,-126729.0,-888.0,-51375.0,-94229.0,-126729.0,-126729.0,-126729.0
29,TAIDUC-001,Order Policy,MIN_MAX,Balance (+SR),0.0,-76729.0,4112.0,-11375.0,-44229.0,-76729.0,-76729.0,-76729.0
30,TAIDUC-001,Rounding Value / MOQ,[5000/ 5000],Balance(+SR+PR),0.0,3271.0,4112.0,23625.0,35771.0,3271.0,3271.0,3271.0
31,TAIDUC-001,Cover Days / Week Day / Max Level,[nan/ nan/ 30000.0],Balance(+SR+1st PR),0.0,-41729.0,4112.0,23625.0,-9229.0,-41729.0,-41729.0,-41729.0
32,XCB-107,Item Code,XCB-107,Gross Req,0.0,195.0,0.0,106.0,42.0,1.0,46.0,0.0
33,XCB-107,Description,110mm XC Mountain Bike - Large,Scheduled Rcpt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,XCB-107,Current stock,10.0,planned_receipt,0.0,295.0,0.0,245.0,0.0,0.0,50.0,0.0
35,XCB-107,Lead Time,3,planned_release,0.0,295.0,195.0,50.0,0.0,50.0,0.0,0.0
36,XCB-107,Safety Stock,100,Balance,10.0,-185.0,10.0,-96.0,-138.0,-139.0,-185.0,-185.0
37,XCB-107,Order Policy,FOQ,Balance (+SR),10.0,-185.0,10.0,-96.0,-138.0,-139.0,-185.0,-185.0
38,XCB-107,Rounding Value / MOQ,[1/ 50],Balance(+SR+PR),10.0,110.0,10.0,149.0,107.0,106.0,110.0,110.0
39,XCB-107,Cover Days / Week Day / Max Level,[nan/ nan/ nan],Balance(+SR+1st PR),10.0,10.0,10.0,99.0,57.0,56.0,10.0,10.0
40,ENB-707,Item Code,ENB-707,Gross Req,0.0,56.0,0.0,3.0,53.0,0.0,0.0,0.0
41,ENB-707,Description,170mm Enduro Mountain Bike - Large,Scheduled Rcpt,0.0,84.0,36.0,48.0,0.0,0.0,0.0,0.0
42,ENB-707,Current stock,27.0,planned_receipt,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
