,Item Code,Field,Field Value,MRP_element,overdue,total,"01/01 ,, W52Y22,","02/01 ,, W01Y23,","03/01,","04/01,","05/01,","06/01,","07/01,","08/01,","09/01 ,, W02Y23,","10/01,","11/01,","12/01,","13/01,","14/01,","15/01,","16/01 ,, W03Y23,","17/01,","18/01,","19/01,","20/01,","21/01,","22/01,","23/01 ,, W04Y23,","24/01,","25/01,","26/01,","27/01,","28/01,","29/01,","30/01 ,, W05Y23,","31/01,"
0,TAIDUC-001,Item Code,TAIDUC-001,Gross Req,0.0,126729.0,888.0,0.0,30000.0,100.0,19999.0,388.0,0.0,0.0,0.0,5000.0,10000.0,5000.0,1555.0,19999.0,1300.0,1000.0,500.0,30000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,TAIDUC-001,Description,"Trading RM, Pokemon Fish 001",Scheduled Rcpt,0.0,50000.0,5000.0,0.0,25000.0,0.0,0.0,5000.0,0.0,5000.0,0.0,0.0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,TAIDUC-001,Current stock,0.0,planned_receipt,0.0,80000.0,0.0,0.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,TAIDUC-001,Lead Time,7,planned_release,35000.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,TAIDUC-001,Safety Stock,0,Balance,0.0,-126729.0,-888.0,-888.0,-30888.0,-30988.0,-50987.0,-51375.0,-51375.0,-51375.0,-51375.0,-56375.0,-66375.0,-71375.0,-72930.0,-92929.0,-94229.0,-95229.0,-95729.0,-125729.0,-126729.0,-126729.0,-126729.0,-126729.0,-126729.0,-126729.0,-126729.0,-126729.0,-126729.0,-126729.0,-126729.0,-126729.0,-126729.0
5,TAIDUC-001,Order Policy,MIN_MAX,Balance (+SR),0.0,-76729.0,4112.0,4112.0,-888.0,-988.0,-20987.0,-16375.0,-16375.0,-11375.0,-11375.0,-16375.0,-21375.0,-26375.0,-27930.0,-47929.0,-44229.0,-45229.0,-45729.0,-75729.0,-76729.0,-76729.0,-76729.0,-76729.0,-76729.0,-76729.0,-76729.0,-76729.0,-76729.0,-76729.0,-76729.0,-76729.0,-76729.0
6,TAIDUC-001,Rounding Value / MOQ,[5000/ 5000],Balance(+SR+PR),0.0,3271.0,4112.0,4112.0,34112.0,34012.0,14013.0,18625.0,18625.0,23625.0,23625.0,18625.0,13625.0,8625.0,7070.0,32071.0,35771.0,34771.0,34271.0,4271.0,3271.0,3271.0,3271.0,3271.0,3271.0,3271.0,3271.0,3271.0,3271.0,3271.0,3271.0,3271.0,3271.0
7,TAIDUC-001,Cover Days / Week Day / Max Level,[nan/ nan/ 30000.0],Balance(+SR+1st PR),0.0,-41729.0,4112.0,4112.0,34112.0,34012.0,14013.0,18625.0,18625.0,23625.0,23625.0,18625.0,13625.0,8625.0,7070.0,-12929.0,-9229.0,-10229.0,-10729.0,-40729.0,-41729.0,-41729.0,-41729.0,-41729.0,-41729.0,-41729.0,-41729.0,-41729.0,-41729.0,-41729.0,-41729.0,-41729.0,-41729.0
8,ENB-705,Item Code,ENB-705,Gross Req,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ENB-705,Description,170mm Enduro Mountain Bike - Medium,Scheduled Rcpt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,ENB-705,Current stock,33.0,planned_receipt,0.0,120.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,ENB-705,Lead Time,3,planned_release,0.0,120.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,ENB-705,Safety Stock,100,Balance,33.0,27.0,33.0,33.0,33.0,33.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
13,ENB-705,Order Policy,FOQ,Balance (+SR),33.0,27.0,33.0,33.0,33.0,33.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
